dynamics,day,years,survival_-1x,se_-1x,survival_-0.5x,se_-0.5x
capped at in-sample max sigma,879,3.488095238095238,0.9282,0.0018254418643166917,0.99015,0.0006983186056521774
capped at in-sample max sigma,880,3.492063492063492,0.92815,0.0018260281692788856,0.9901,0.0007000710678209755
capped at in-sample max sigma,881,3.496031746031746,0.9281,0.001826614217616845,0.9901,0.0007000710678209755
capped at in-sample max sigma,882,3.5,0.92805,0.001827200009577495,0.9901,0.0007000710678209755
capped at in-sample max sigma,883,3.503968253968254,0.92805,0.001827200009577495,0.9901,0.0007000710678209755
capped at in-sample max sigma,884,3.507936507936508,0.9279,0.001828955849658488,0.9901,0.0007000710678209755
capped at in-sample max sigma,885,3.511904761904762,0.9278,0.0018301251323338526,0.9901,0.0007000710678209755
capped at in-sample max sigma,886,3.515873015873016,0.9277,0.0018312933953902638,0.9901,0.0007000710678209755
capped at in-sample max sigma,887,3.5198412698412698,0.9277,0.0018312933953902638,0.9901,0.0007000710678209755
capped at in-sample max sigma,888,3.5238095238095237,0.9276,0.0018324606407778589,0.9901,0.0007000710678209755
capped at in-sample max sigma,889,3.5277777777777777,0.9276,0.0018324606407778589,0.9901,0.0007000710678209755
capped at in-sample max sigma,890,3.5317460317460316,0.92755,0.0018330438824534455,0.9901,0.0007000710678209755
capped at in-sample max sigma,891,3.5357142857142856,0.92745,0.001834209604979758,0.9901,0.0007000710678209755
capped at in-sample max sigma,892,3.5396825396825395,0.9273,0.0018359562903293748,0.9901,0.0007000710678209755
capped at in-sample max sigma,893,3.5436507936507935,0.92725,0.001836538013491689,0.9901,0.0007000710678209755
capped at in-sample max sigma,894,3.5476190476190474,0.92715,0.0018377007033246733,0.9901,0.0007000710678209755
capped at in-sample max sigma,895,3.5515873015873014,0.9271,0.0018382816704738147,0.9901,0.0007000710678209755
capped at in-sample max sigma,896,3.5555555555555554,0.92705,0.0018388623860963599,0.99005,0.0007018189759475022
capped at in-sample max sigma,897,3.5595238095238093,0.927,0.0018394428504305315,0.99005,0.0007018189759475022
capped at in-sample max sigma,898,3.5634920634920637,0.92695,0.0018400230637141475,0.99005,0.0007018189759475022
capped at in-sample max sigma,899,3.5674603174603177,0.9269,0.0018406030261846258,0.99005,0.0007018189759475022
capped at in-sample max sigma,900,3.5714285714285716,0.9268,0.0018417621996338186,0.99005,0.0007018189759475022
capped at in-sample max sigma,901,3.5753968253968256,0.9267,0.001842920372669422,0.99005,0.0007018189759475022
capped at in-sample max sigma,902,3.5793650793650795,0.9267,0.001842920372669422,0.99005,0.0007018189759475022
capped at in-sample max sigma,903,3.5833333333333335,0.9267,0.001842920372669422,0.99005,0.0007018189759475022
capped at in-sample max sigma,904,3.5873015873015874,0.92665,0.0018434990846214166,0.99005,0.0007018189759475022
capped at in-sample max sigma,905,3.5912698412698414,0.9265,0.0018452337250332274,0.99,0.0007035623639735148
capped at in-sample max sigma,906,3.5952380952380953,0.92635,0.0018469661271934578,0.99,0.0007035623639735148
capped at in-sample max sigma,907,3.5992063492063493,0.9263,0.0018475430982794418,0.99,0.0007035623639735148
capped at in-sample max sigma,908,3.6031746031746033,0.9263,0.0018475430982794418,0.99,0.0007035623639735148
capped at in-sample max sigma,909,3.607142857142857,0.9263,0.0018475430982794418,0.99,0.0007035623639735148
capped at in-sample max sigma,910,3.611111111111111,0.9263,0.0018475430982794418,0.98995,0.0007053012654178356
capped at in-sample max sigma,911,3.615079365079365,0.92625,0.0018481198216024845,0.98995,0.0007053012654178356
capped at in-sample max sigma,912,3.619047619047619,0.9262,0.0018486962973944636,0.98995,0.0007053012654178356
